top-lunch-score,top-prefecture,top-telephone,shop-transportation,shop-addresses,top-overall-score,features-first-reviewer,features-the-homepage,shop-categories,seats-mobile-phone,top-subcategory-two,seats-non-smoking-smoking,shop-budget,top-category,features-remarks,menu-dishes,seats-parking-lot,shop-restaurant-name,menu-drink,shop-operating-hours,features-location,url,shop-cards,features-occasion,top-name,top-night-score,top-budget-lunch,top-comments,seats-number-of-seats,seats-private-use,top-budget-night,menu-all-you-can-drink,top-nearest-station,seats-space-facilities,menu-course,shop-shop-holidays,top-subcategory-one,shop-tel-reservation,seats-private-dining-rooms
-,Saga,"
                  050-5589-5428
                  (+81-50-5589-5428)                ","JR佐賀駅より車で7分エスプラッツより徒歩4分 1,345 meters from Saga.",9-3 Gofuku Motomachi Saga Saga 佐賀県 佐賀市 呉服元町 9-2 Show larger map,3.31,まきまきなのね,https://www.facebook.com/sushiyoshi.yamasa/,"Sushi, Nihonshu (Japanese sake), Izakaya (Tavern)",docomo、au、SoftBank,Izakaya (Tavern),Smoking establishment (カウンター席は禁煙),"Dinner: ￥10,000～￥14,999",Sushi,◆HP◆http://www.sushiyoshi-yamasa.jp/◆ローカルプレイス◆http://www.localplace.jp/t100074175/,"Particular about vegetable,Particular about fish",no (近隣にコインパーキングございます),yamasashoutensushiyoshi (山沙商店すし芳),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines","18:00～23:00 Late night (After 10 PM), Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41002899/,Available (JCB、VISA、MASTER、AMEX、Diners),"Date,Banquets/party,Reception,With friends/co-workers This occasion is recommended by many people.",yamasashoutensushiyoshi,3.31,,7,37 Seats (【1F】カウンター席7席 【2Ｆ】掘りごたつ席4明×2 【個室】6～8名×2),Available (For 20-50 people),"￥10,000～￥14,999",All-you-can-drink,"
                  Saga
                ","Stylish space,Comfortable space,Counter,Tatami seats,Horigotatsu seats","Course (¥5,000 - ¥8,000),Course (¥8,000 - ¥10,000),Course (over ¥10,000)",不定休,Nihonshu (Japanese sake),050-5589-5428 (+81-50-5589-5428) (For reservation only) 0952-20-1239 (+81-952-20-1239) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people (【2Ｆ】掘りごたつ席：4名×2 6名×2(仕切りを外して最大30名まで可能) )
-,Saga,"
                  050-5592-2486
                  (+81-50-5592-2486)                ","JR【佐賀駅】より車で9分市営バス【大崎】バス停より徒歩5分【袋住宅前】バス停より徒歩4分 2,941 meters from Saga.",405-7 Honjomachi Oaza Fukuro Saga Saga 佐賀県 佐賀市 本庄町袋 405-7 Show larger map,-,やい1975,http://www.localplace.jp/t100137361/,"Izakaya (Tavern), Yakitori (Grilled chicken), Chicken wings",,Chicken wings,Smoking establishment,"Dinner: ￥3,000～￥3,999 The amount of money spent by actual store visitors.",Izakaya (Tavern),,,yes (お店前に7～8台分ございます),Izakayatanukichi (居酒屋たぬ吉),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",18：00～24：00(LO23：00) Late night (After 10 PM),,https://tabelog.com/en/saga/A4101/A410101/41000680/,Not Available,With friends/co-workers This occasion is recommended by many people.,Izakayatanukichi,-,,2,39 Seats (カウンター5席 座敷(4名×6卓) 奥座敷(5名×2卓)),Available (Up to 20 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Comfortable space,Wide seat,Counter,Tatami seats","Course (up to ¥3,000)",火曜日,Yakitori (Grilled chicken),050-5592-2486 (+81-50-5592-2486) (For reservation only) 0952-25-0757 (+81-952-25-0757) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people
-,Saga,"
                  050-5593-5579
                  (+81-50-5593-5579)                ",JR唐津駅から徒歩5分 303 meters from Karatsu.,Katanamachi Karatsu Saga 佐賀県 唐津市 刀町 1528 林ビル Show larger map,-,,http://fb.me/sashiyama.hino,"Yakitori (Grilled chicken), Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,,Smoking establishment,"Dinner: ￥2,000～￥2,999 Lunch: ～￥999",Yakitori (Grilled chicken),8月21日より日曜日定休となりました。,"Particular about vegetable,Particular about fish",no,Izakayasashiyamashoutenattohinomaru (居酒屋 指山商店 ＠ヒノマル),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)",11:30～14:00（O.S.13:30）※9月1日からスタート17:00～24:00（O.S.23:30） Late night (After 10 PM),,https://tabelog.com/en/saga/A4102/A410201/41005873/,Not Available,,Izakayasashiyamashoutenattohinomaru,-, ～￥999,0,32 Seats (カウンター12席/テーブル12席/座敷8席),Available (For 20-50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000)","
                  Karatsu
                ",Sofa seats,,日曜定休 ※不定休あり。,Izakaya (Tavern),050-5593-5579 (+81-50-5593-5579) (For reservation only) 0955-75-1100 (+81-955-75-1100) (For inquiry) 予約可,no
-,Saga,"
                  050-5869-9794
                  (+81-50-5869-9794)                ",国道34号線 牧のうどん武雄北方店を目印に200M先。最寄り駅『北方駅』徒歩３分 403 meters from Kitagata.,122-1 Kitagatacho Oaza Shiku Takeo Saga 佐賀県 武雄市 北方町志久 122-1 Show larger map,-,高砂,http://www.localplace.jp/t100063158/,"Yakitori (Grilled chicken), Izakaya (Tavern), Motsu Nabe (Offel Hot Pot)",docomo、au、SoftBank、Y!mobile,Motsu Nabe (Offel Hot Pot),Smoking establishment,"Dinner: ￥3,000～￥3,999",Yakitori (Grilled chicken),,"Particular about vegetable,Vegetarian menu",yes (専用駐車場 70台まで収容可能),Murahachi (むら八),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","１７：００～２４：００（OL２３：００） Late night (After 10 PM), Open on sundays","Beautiful scenery,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4103/A410301/41002098/,Available (VISA、JCB、MASTER、AMEX、Diners),"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Murahachi,-,,2,100 Seats (（個室・テーブル席・カウンター席）),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Kitagata
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",不定休（大晦日・元日）,Izakaya (Tavern),050-5869-9794 (+81-50-5869-9794) (For reservation only) 0954-20-3066 (+81-954-20-3066) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people (個室１室・半個室としてご利用出来ます。)
-,Saga,"
                  050-5592-4814
                  (+81-50-5592-4814)                ","JR【佐賀駅】より徒歩15分、車で6分エスプラッツななめ前【ららららーめん】2Fにございます！ 1,160 meters from Saga.",Chuohonmachi Saga Saga 佐賀県 佐賀市 中央本町 3-22 ヤマトビル 2F Show larger map,-,,http://www.mars-saga.com,"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Smoking establishment,,Yakiniku (BBQ Beef),【貸切】・小上がり座敷最大26～30名迄・個室座席最大12名迄,,no (近隣にコインパーキングがございます。),Sagagyuuyakinikumatsuzou (佐賀牛焼肉松藏),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","【日～木】18：00～24：00（L.O23：00）【金・土・祝前日】18：00～翌3：00（L.O翌2：00） Late night (After 10 PM),Late night (After midnight), Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41005885/,Available (VISA、MASTER、JCB、AMEX),Banquets/party This occasion is recommended by many people.,Sagagyuuyakinikumatsuzou,-,,0,70 Seats (カウンター（2名×5）、テーブル席（4名×1、7名×1）、小上がり座敷（8名×2、6名×1、4名×1）、個室座敷（8名×1）、畳座敷（6名×1、4名×1）),Available (Over 50 people),,All-you-can-drink,"
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",不定休,Horumon (BBQ Offel),050-5592-4814 (+81-50-5592-4814) (For reservation only) 0952-27-2606 (+81-952-27-2606) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people (半個室座敷（8名×2、6名×1、4名×1）※人数に応じてご用意可能 個室座敷（8名×1） 畳座敷（6名×1、4名×1） )
-,Saga,"
                  050-5570-5381
                  (+81-50-5570-5381)                ",ＪＲ鳥栖駅 徒歩1分 95 meters from Tosu.,726 Kyomachi Tosu Saga 佐賀県 鳥栖市 京町 726 グリーンリッチホテル1F Show larger map,3.06,DNW,,Izakaya (Tavern),docomo、au、SoftBank,,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,,no,Akachouchin (あかちょうちん 鳥栖駅前市場),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)","ディナー 17:30～24：00(L.O.23:30) モーニング 07:00～10:00(L.O.09:30) Breakfast,Late night (After 10 PM), Open on sundays",In hotel restaurant,https://tabelog.com/en/saga/A4101/A410103/41003752/,Available (VISA、MASTER、AMEX),"Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",Akachouchin,3.06,,6,60 Seats,Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (over 3 hours)","
                  Tosu
                ","Comfortable space,Counter,Tatami seats","Course (¥3,000 - ¥4,000)",無休,,050-5570-5381 (+81-50-5570-5381) (For reservation only) 0942-87-3787 (+81-942-87-3787) (For inquiry) 予約可,no
-,Saga,"
                  050-5590-2622
                  (+81-50-5590-2622)                ","JR【佐賀駅】より車で8分市営バス【下村河畔】バス停前★佐賀共栄銀行兵庫支店さんの横に御座います。 1,729 meters from Saga.",Honjōmachi Ōaza Honjō Saga-shi Saga-ken 佐賀県 佐賀市 兵庫南 2-736-1 This shop has moved from 「佐賀市本庄町大字本庄10」. *Information before relocation is not updated. See shop information before relocation Show larger map,-,,http://www.localplace.jp/t100081166/,"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Yakitori (Grilled chicken)",docomo、au、SoftBank、Y!mobile,Yakitori (Grilled chicken),Smoking establishment,"Dinner: ￥2,000～￥2,999",Izakaya (Tavern),※貸切40～60名まで可能,Health/beauty menu,yes (11台分ございます),Shunsaishubouaura (旬菜酒房 逢宇楽),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","17：00～0：00 Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41003390/,Available (VISA、MASTER、JCB、AMEX、Diners),Banquets/party This occasion is recommended by many people.,Shunsaishubouaura,-,,0,63 Seats (6名テーブル×6、4名テーブル×3、12名テーブル×1、カウンター×3),Available (For 20-50 people、Over 50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000)","
                  Saga
                ","Comfortable space,Wide seat,Counter,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",無休,Motsu Nabe (Offel Hot Pot),050-5590-2622 (+81-50-5590-2622) (For reservation only) 0952-97-8456 (+81-952-97-8456) (For inquiry) 予約可 ※ご予約のお電話は13時以降より承っております。,yes (個室×7部屋（6名席×6室、12名席×1室）)
-,Saga,"
                  050-5571-5672
                  (+81-50-5571-5672)                ",佐賀駅南口を出て中央大通りを直進！徒歩約10分中央橋の信号の左手に見える『唐人ビル』の３階です。 949 meters from Saga.,Tojin Saga-city Saga 佐賀県 佐賀市 唐人 2-2-1 唐人ビル 3F Show larger map,-,やい1975,http://www.localplace.jp/t100061004/,"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Seafood",docomo、au、SoftBank、Y!mobile,Seafood,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,,no (近くにコインパーキングあります。),Kakomian (かこみ庵 愛敬店),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","１７：００～２４：００ Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41005336/,Available (VISA、MASTER、JCB、AMEX、Diners),"Date,Banquets/party This occasion is recommended by many people.",Kakomian,-,,1,100 Seats (全席完全個室2名～80名まで多数有り♪),Not Available,"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",年中無休,Motsu Nabe (Offel Hot Pot),050-5571-5672 (+81-50-5571-5672) (For reservation only) 0952-27-6500 (+81-952-27-6500) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people、Over 30 people (最大80名様まで！)
-,Saga,"
                  050-5592-8970
                  (+81-50-5592-8970)                ","昭和バス【卸センター前】より徒歩3分佐賀駅より車で10分☆佐賀バイパス沿いローソンより直進した突き当りにございます 2,030 meters from Nabeshima.",佐賀県佐賀市鍋島町大字八戸溝311-16 佐賀県 佐賀市 鍋島 町大字八戸溝311-16 Show larger map,-,へご,http://ristorante-capri.net/,"Italian, French, Pizza",docomo、au、SoftBank、Y!mobile,Pizza,Sectionalized smoking (喫煙席4名様×2),"Lunch: ￥1,000～￥1,999 The amount of money spent by actual store visitors.",Italian,※貸切20名～30名様,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",yes (お店の前に7台分ございます),RISTORANTE CAPRI (リストランテ カプリ),"Wines,Cocktails,Particular about wines,Particular about cocktails","11:00～15:00(LO14：30) 18:00～23:00(LO22:30) Lunch,Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41005828/,Not Available,,RISTORANTE CAPRI,-,,1,29 Seats (カウンター5席、テーブル席(4名×4、2名×4)),Available (For 20-50 people),"￥1,000～￥1,999",,"
                  Nabeshima
                ","Stylish space,Comfortable space,Counter","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",月曜日,French,050-5592-8970 (+81-50-5592-8970) (For reservation only) 0952-65-3234 (+81-952-65-3234) (For inquiry) 予約可,yes For 6 people、For 8 people (個室6～8名)
-,Saga,"
                  050-5571-3191
                  (+81-50-5571-3191)                ","国道34号線【大木】より車で1分。 1,725 meters from Tashiro.",194-1 Kayakatamachi Tosu Saga 佐賀県 鳥栖市 萱方町 194-1 Show larger map,-,,,"Yakiniku (BBQ Beef), Korean cuisine, Izakaya (Tavern)",docomo、au、SoftBank,Izakaya (Tavern),Smoking establishment,"Dinner: ￥2,000～￥2,999 Lunch: ～￥999",Yakiniku (BBQ Beef),,"Particular about vegetable,Health/beauty menu",yes (専用駐車場13台),Tonya (とんや),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines","【ランチタイム】平日限定11:00～14:00【ディナー】17:00～23:00（os22：30） Lunch, Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41005321/,Available (VISA、MASTER),Banquets/party This occasion is recommended by many people.,Tonya,-, ～￥999,0,45 Seats (4人テーブル×2、5人・7人座敷席×2、5人・7人掘りごたつ席×4),Available (For 20-50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000)","
                  Tashiro
                ","Stylish space,Comfortable space,Wide seat,Tatami seats,Horigotatsu seats","Course (up to ¥3,000)",火曜 (夜のみ),Korean cuisine,050-5571-3191 (+81-50-5571-3191) (For reservation only) 0942-80-2499 (+81-942-80-2499) (For inquiry) 予約可,no
